Title,Abstract,Citations
Dataset supporting the paper entitled “Low-Power 3D Integration using Inductive Coupling Links for Neurotechnology Applications,"Dataset supporting the paper entitled “Low-Power 3D Integration using Inductive Coupling Links for Neurotechnology Applications"" - ePrints Soton … Dataset supporting the paper …",0
NEUROTECHNOLOGY WITH POTENTIAL FOR COGNITIVE ENHANCEMENT: INSIGHTS INTO BRAIN STIMULATION,Brain neuromodulation techniques have been used extensively in neuroscience and cognitive psychology to alter the polarity of the brain resting membrane in order to influence …,0
Neurodesign: application of neurotechnology to interpret emotions which affect decision making when buying online in platforms such as e-commerce from the …,"PUENTE BERDASCO, Daniel and PINILLA DIAZ, Carlos Andrés. Neurodesign: application of neurotechnology to interpret emotions which affect decision making when buying online in …",0
It's time for neuro-rights,… Although neurotechnology presents critical opportunities for scientific and medical … Neurotechnology has tremendous potential to improve the human condition and advance …,33
A 5‐year longitudinal clinical and magnetic resonance imaging study in spinocerebellar ataxia type 3,"Background The natural history of neurodegeneration in spinocerebellar ataxia type 3/Machado Joseph disease is still unclear. Here, we built a long‐term longitudinal clinical and …",16
The actiwatch activity monitoring system. Instructions for use and software manual,,8
"A Novel Patient-Tailored, Cumulative Neurotechnology-Based Therapy for Upper-Limb Rehabilitation in Severely Impaired Chronic Stroke Patients: The …","… movement therapy to neurotechnology-based approaches, such … may benefit from neurotechnology-based interventions as … , we propose a personalized neurotechnology-based …",2
Asking questions that matter–Question prompt lists as tools for improving the consent process for neurotechnology clinical trials,"… prompt lists in neurotechnology research” … neurotechnology studies,” we offer an example of a QPL that could serve as a template for an informed consent tool in neurotechnology …",1
Music Neurotechnology for Sound Synthesis using Artificial Spiking Neurons,… We have coined the term Music Neurotechnology to refer to … Examples of ongoing research into Music Neurotechnology … research into Music Neurotechnology for sound synthesis with a …,0
Randomized Controlled Trial of Closed-Loop Allostatic Neurotechnology to Improve Sensory Function and Pain Management After Traumatic Brain Injury,"… , closed-loop, acoustic stimulation neurotechnology HIRREM-SOP called Cereset Research, using … The hypothesis is that usage of Cereset Research neurotechnology ten sessions, 90 …",0
Electrocorticography-Based Neurotechnology Development: Recording from and Effectively Stimulating the Human Brain,"Neural devices have great potential to improve the treatment of neuropsychiatric, sensorimotor, and epileptiform disorders in humans. Recently, focus has been appropriately directed …",0
"Neuroethics: Neurotechnology, Free Will and the Privacy of Human Thought","Canli T & Amin Z.(2002) Neuroimaging of emotion and personality: Scientific evidence and ethical considerations. Brain and Cognition, 50: 414-431. Golby AJ, Gabrieli JDE, Chiao JY, …",0
Neurotechnology and dynamic flow: the influence of brain stimulation technologies and neurofeedback on the self and self-understanding,… to neurotechnology are researched and answered. Fundamental issues in neurotechnology … This is because I will argue that influence with neurotechnology on the brain is unnatural in …,0
Chemogenetic and neurotechnology approaches for the recovery of motor function after paralysis following stroke and spinal cord injury,Stroke and spinal cord injury are two of the main causes of paralysis worldwide. Both conditions induce abrupt impairments with devastating consequences for the quality of life of …,0
"Defense Advanced Research Projects Agency Neurotechnology for Intelligence Analysts (NIA) Program Phase I Analysis Report for Team 6, UCSD","The ever increasing number of imagery produced by intelligence satellites and practical problems in training enough intelligence analysts (long training period, etc..) to analyze these …",0
ERP decomposition techniques to infer functional modules in the human brain: a neurotechnology lesson from cognitive responses and vigilance studies,"… With modern neurotechnology and related approaches aimed to target specific molecular substrates in the brain in a clinical perspective, one can take advantage to use these as …",0
… : Improved Autonomic Cardiovascular Regulation and Reduced Symptoms Associated with Use of Closed-loop Noninvasive Neurotechnology by Healthcare Workers,"Introduction: Chronic stress in healthcare workers is associated with insomnia and risk for adverse health outcomes. High-resolution, relational, resonance-based, electroencephalic …",0
